編號,產業,關聯欄位,子分類,原始文字,公司名稱,股票代號,星等,是否為供應鏈敘述,group_id,股票代號_單一,yfinance_ticker
1,AI ASIC,全球合作_需求端,,AWS Trainium/Inferentia：AMZN→MRVL→世芯,,AWS,0,True,24,AWS,AWS
1,AI ASIC,全球合作_需求端,,AWS Trainium/Inferentia：AMZN→MRVL→世芯,,AMZN,0,True,25,AMZN,AMZN
1,AI ASIC,全球合作_需求端,,AWS Trainium/Inferentia：AMZN→MRVL→世芯,,MRVL,0,True,26,MRVL,MRVL
1,AI ASIC,全球合作_需求端,Meta MTIA,Meta MTIA：META→AVGO→創意,,META,0,True,27,META,META
1,AI ASIC,全球合作_需求端,Meta MTIA,Meta MTIA：META→AVGO→創意,,AVGO,0,True,28,AVGO,AVGO
1,AI ASIC,全球合作_需求端,Microsoft Maia,Microsoft Maia：MSFT→MRVL→創意,,MSFT,0,True,29,MSFT,MSFT
1,AI ASIC,全球合作_需求端,Microsoft Maia,Microsoft Maia：MSFT→MRVL→創意,,MRVL,0,True,30,MRVL,MRVL
1,AI ASIC,全球合作_需求端,,台積電2330/TSM★★★★★,台積電,2330/TSM,5,False,31,2330,2330.TW
1,AI ASIC,全球合作_需求端,,台積電2330/TSM★★★★★,台積電,2330/TSM,5,False,31,TSM,TSM
1,AI ASIC,台灣高關聯股,,京元電2449★★★★,京元電,2449,4,False,32,2449,2449.TW
1,AI ASIC,台灣高關聯股,,旺矽6223★★★★,旺矽,6223,4,False,33,6223,6223.TW
1,AI ASIC,台灣高關聯股,,精測6510★★★★,精測,6510,4,False,34,6510,6510.TW
1,AI ASIC,台灣高關聯股,,穎崴6515★★★★,穎崴,6515,4,False,35,6515,6515.TW
2,SoC／Connectivity,台灣核心股,,聯發科2454 ★★★★★,聯發科,2454,5,False,36,2454,2454.TW
2,SoC／Connectivity,台灣核心股,,瑞昱2379 ★★★★★,瑞昱,2379,5,False,37,2379,2379.TW
2,SoC／Connectivity,全球上游_供應,,台積電2330/TSM★★★★★,台積電,2330/TSM,5,False,38,2330,2330.TW
2,SoC／Connectivity,全球上游_供應,,台積電2330/TSM★★★★★,台積電,2330/TSM,5,False,38,TSM,TSM
2,SoC／Connectivity,全球上游_供應,,聯電2303★★★,聯電,2303,3,False,39,2303,2303.TW
2,SoC／Connectivity,全球上游_供應,,GFS★★★,,GFS,3,False,40,GFS,GFS
2,SoC／Connectivity,全球上游_供應,,ARM★★★★,,ARM,4,False,41,ARM,ARM
2,SoC／Connectivity,全球競爭_同業,,QCOM★★★★★,,QCOM,5,False,42,QCOM,QCOM
2,SoC／Connectivity,全球競爭_同業,,Samsung★★★★,Samsung,005930.KS,4,False,43,005930.KS,005930.KS
2,SoC／Connectivity,全球競爭_同業,,AVGO★★★★,,AVGO,4,False,44,AVGO,AVGO
2,SoC／Connectivity,全球競爭_同業,,MRVL★★★★,,MRVL,4,False,45,MRVL,MRVL
2,SoC／Connectivity,全球合作_需求端,,NVDA★★★★★,,NVDA,5,False,46,NVDA,NVDA
2,SoC／Connectivity,全球合作_需求端,,手機/Wi-Fi/Router/Edge AI/車用,手機/Wi-Fi/Router/Edge AI/車用,,0,False,47,,
2,SoC／Connectivity,台灣高關聯股,,聯詠3034★★★★,聯詠,3034,4,False,48,3034,3034.TW
2,SoC／Connectivity,台灣高關聯股,,矽格6257★★★★,矽格,6257,4,False,49,6257,6257.TW
2,SoC／Connectivity,台灣高關聯股,,京元電2449★★★★,京元電,2449,4,False,50,2449,2449.TW
3,NAND／AI SSD,台灣核心股,,群聯8299 ★★★★★,群聯,8299,5,False,51,8299,8299.TW
3,NAND／AI SSD,全球上游_供應,,MU★★★★★,,MU,5,False,52,MU,MU
3,NAND／AI SSD,全球上游_供應,,Kioxia285A.T★★★★★,Kioxia,285A.T,5,False,53,285A.T,285A.T
3,NAND／AI SSD,全球上游_供應,,Samsung★★★★,Samsung,005930.KS,4,False,54,005930.KS,005930.KS
3,NAND／AI SSD,全球上游_供應,,SK hynix★★★★,SK hynix,000660.KS,4,False,55,000660.KS,000660.KS
3,NAND／AI SSD,全球競爭_同業,,SIMO★★★★★,,SIMO,5,False,56,SIMO,SIMO
3,NAND／AI SSD,全球合作_需求端,,AI Server／Enterprise SSD／Storage,AI Server Enterprise  Storage,SSD,0,False,57,SSD,SSD
3,NAND／AI SSD,台灣高關聯股,,威剛3260★★★★,威剛,3260,4,False,58,3260,3260.TW
3,NAND／AI SSD,台灣高關聯股,,十銓4967★★★,十銓,4967,3,False,59,4967,4967.TW
3,NAND／AI SSD,台灣高關聯股,,創見2451★★★,創見,2451,3,False,60,2451,2451.TW
4,NOR Flash,台灣核心股,,旺宏2337 ★★★★★,旺宏,2337,5,False,61,2337,2337.TW
4,NOR Flash,台灣核心股,,華邦電2344 ★★★★★,華邦電,2344,5,False,62,2344,2344.TW
4,NOR Flash,全球上游_供應,,晶圓材料／成熟製程,晶圓材料 成熟製程,,0,False,63,,
4,NOR Flash,全球競爭_同業,,兆易創新603986.SS★★★★★,兆易創新,603986.SS,5,False,64,603986.SS,603986.SS
4,NOR Flash,全球競爭_同業,,Infineon IFX.DE★★★★,Infineon,IFX.DE,4,False,65,IFX.DE,IFX.DE
4,NOR Flash,全球競爭_同業,,MCHP★★★,,MCHP,3,False,66,MCHP,MCHP
4,NOR Flash,全球合作_需求端,,車用／工控／消費電子,車用 工控 消費電子,,0,False,67,,
4,NOR Flash,台灣高關聯股,,旺宏↔華邦電★★★★★,旺宏↔華邦電,,5,False,68,,
5,Memory OSAT,台灣核心股,,力成6239★★★★★,力成,6239,5,False,69,6239,6239.TW
5,Memory OSAT,台灣核心股,,華泰2329★★★★,華泰,2329,4,False,70,2329,2329.TW
5,Memory OSAT,台灣核心股,,華東8110★★★★,華東,8110,4,False,71,8110,8110.TW
5,Memory OSAT,台灣核心股,,南茂8150★★★★,南茂,8150,4,False,72,8150,8150.TW
5,Memory OSAT,全球上游_供應,,MU★★★★★,,MU,5,False,73,MU,MU
5,Memory OSAT,全球上游_供應,,Kioxia★★★★★,Kioxia,285A.T,5,False,74,285A.T,285A.T
5,Memory OSAT,全球上游_供應,,SK hynix★★★★,SK hynix,000660.KS,4,False,75,000660.KS,000660.KS
5,Memory OSAT,全球上游_供應,,Samsung★★★★,Samsung,005930.KS,4,False,76,005930.KS,005930.KS
5,Memory OSAT,全球競爭_同業,,Hana Micron067310.KQ★★★★★,Hana Micron,067310.KQ,5,False,77,067310.KQ,067310.KQ
5,Memory OSAT,全球競爭_同業,,AMKR★★★★,,AMKR,4,False,78,AMKR,AMKR
5,Memory OSAT,全球競爭_同業,,JCET★★★,,JCET,3,False,79,JCET,JCET
5,Memory OSAT,全球合作_需求端,,DRAM/NAND出貨與稼動率,NAND出貨與稼動率,DRAM,0,False,80,DRAM,DRAM
5,Memory OSAT,台灣高關聯股,,群聯8299★★★,群聯,8299,3,False,81,8299,8299.TW
5,Memory OSAT,台灣高關聯股,,華邦電2344★★★,華邦電,2344,3,False,82,2344,2344.TW
5,Memory OSAT,台灣高關聯股,,南亞科2408★★★,南亞科,2408,3,False,83,2408,2408.TW
6,DDIC／COF封測,台灣核心股,,頎邦6147★★★★★,頎邦,6147,5,False,84,6147,6147.TW
6,DDIC／COF封測,台灣核心股,,南茂8150★★★★★,南茂,8150,5,False,85,8150,8150.TW
6,DDIC／COF封測,全球上游_供應,,聯詠3034★★★★★,聯詠,3034,5,False,86,3034,3034.TW
6,DDIC／COF封測,全球上游_供應,,瑞鼎3592★★★★,瑞鼎,3592,4,False,87,3592,3592.TW
6,DDIC／COF封測,全球上游_供應,,天鈺4961★★★★,天鈺,4961,4,False,88,4961,4961.TW
6,DDIC／COF封測,全球競爭_同業,,HIMX★★★★,,HIMX,4,False,89,HIMX,HIMX
6,DDIC／COF封測,全球競爭_同業,,LX Semicon108320.KS★★★★,LX Semicon,108320.KS,4,False,90,108320.KS,108320.KS
6,DDIC／COF封測,全球合作_需求端,,群創3481★★★★,群創,3481,4,False,91,3481,3481.TW
6,DDIC／COF封測,全球合作_需求端,,友達2409★★★★,友達,2409,4,False,92,2409,2409.TW
6,DDIC／COF封測,全球合作_需求端,,LG Display,LG Display,034220.KS,0,False,93,034220.KS,034220.KS
6,DDIC／COF封測,台灣高關聯股,,頎邦↔南茂★★★★★,頎邦↔南茂,,5,False,94,,
7,AI晶片測試,台灣核心股,,京元電2449★★★★★,京元電,2449,5,False,95,2449,2449.TW
7,AI晶片測試,台灣核心股,,矽格6257★★★★,矽格,6257,4,False,96,6257,6257.TW
7,AI晶片測試,台灣核心股,,欣銓3264★★★★,欣銓,3264,4,False,97,3264,3264.TW
7,AI晶片測試,全球上游_供應,,旺矽6223★★★★,旺矽,6223,4,False,98,6223,6223.TW
7,AI晶片測試,全球上游_供應,,精測6510★★★★,精測,6510,4,False,99,6510,6510.TW
7,AI晶片測試,全球上游_供應,,穎崴6515★★★★,穎崴,6515,4,False,100,6515,6515.TW
7,AI晶片測試,全球競爭_同業,,AMKR★★★,,AMKR,3,False,101,AMKR,AMKR
7,AI晶片測試,全球合作_需求端,,NVDA★★★★★,,NVDA,5,False,102,NVDA,NVDA
7,AI晶片測試,全球合作_需求端,,AVGO★★★★★,,AVGO,5,False,103,AVGO,AVGO
7,AI晶片測試,全球合作_需求端,,AMD★★★★,,AMD,4,False,104,AMD,AMD
7,AI晶片測試,台灣高關聯股,,世芯3661★★★★,世芯,3661,4,False,105,3661,3661.TW
7,AI晶片測試,台灣高關聯股,,創意3443★★★★,創意,3443,4,False,106,3443,3443.TW
8,Probe Card／測試介面,台灣核心股,,旺矽6223★★★★★,旺矽,6223,5,False,107,6223,6223.TW
8,Probe Card／測試介面,台灣核心股,,精測6510★★★★★,精測,6510,5,False,108,6510,6510.TW
8,Probe Card／測試介面,台灣核心股,,穎崴6515★★★★★,穎崴,6515,5,False,109,6515,6515.TW
8,Probe Card／測試介面,全球上游_供應,,精密材料／測試設備,精密材料 測試設備,,0,False,110,,
8,Probe Card／測試介面,全球競爭_同業,,FORM★★★★★,,FORM,5,False,111,FORM,FORM
8,Probe Card／測試介面,全球競爭_同業,,TPRO.MI★★★★★,,TPRO.MI,5,False,112,TPRO.MI,TPRO.MI
8,Probe Card／測試介面,全球競爭_同業,,MJC6871.T★★★★,MJC,6871.T,4,False,113,6871.T,6871.T
8,Probe Card／測試介面,全球競爭_同業,,JEM6855.T★★★,JEM,6855.T,3,False,114,6855.T,6855.T
8,Probe Card／測試介面,全球合作_需求端,,NVDA★★★★★,,NVDA,5,False,115,NVDA,NVDA
8,Probe Card／測試介面,全球合作_需求端,,AVGO★★★★,,AVGO,4,False,116,AVGO,AVGO
8,Probe Card／測試介面,全球合作_需求端,,TSM★★★★,,TSM,4,False,117,TSM,TSM
8,Probe Card／測試介面,台灣高關聯股,,雍智6683★★★,雍智,6683,3,False,118,6683,6683.TW
8,Probe Card／測試介面,台灣高關聯股,,中探針6217★★★,中探針,6217,3,False,119,6217,6217.TW
8,Probe Card／測試介面,台灣高關聯股,,京元電2449★★★★,京元電,2449,4,False,120,2449,2449.TW
9,半導體矽晶圓,台灣核心股,,環球晶6488★★★★★,環球晶,6488,5,False,121,6488,6488.TW
9,半導體矽晶圓,台灣核心股,,中美晶5483★★★★★,中美晶,5483,5,False,122,5483,5483.TW
9,半導體矽晶圓,全球上游_供應,,多晶矽／石英／化學材料,多晶矽 石英 化學材料,,0,False,123,,
9,半導體矽晶圓,全球競爭_同業,,SUMCO3436.T★★★★★,SUMCO,3436.T,5,False,124,3436.T,3436.T
9,半導體矽晶圓,全球競爭_同業,,信越4063.T★★★★★,信越,4063.T,5,False,125,4063.T,4063.T
9,半導體矽晶圓,全球競爭_同業,,Siltronic WAF.DE★★★★★,Siltronic,WAF.DE,5,False,126,WAF.DE,WAF.DE
9,半導體矽晶圓,全球競爭_同業,,SK Siltron★★★★,SK Siltron,,4,False,127,,
9,半導體矽晶圓,全球合作_需求端,,TSM★★★★★,,TSM,5,False,128,TSM,TSM
9,半導體矽晶圓,全球合作_需求端,,MU★★★★★,,MU,5,False,129,MU,MU
9,半導體矽晶圓,全球合作_需求端,,Samsung★★★★,Samsung,005930.KS,4,False,130,005930.KS,005930.KS
9,半導體矽晶圓,全球合作_需求端,,Intel★★★,Intel,INTC,3,False,131,INTC,INTC
9,半導體矽晶圓,台灣高關聯股,,台積電2330★★★★★,台積電,2330,5,False,132,2330,2330.TW
9,半導體矽晶圓,台灣高關聯股,,南亞科2408★★★,南亞科,2408,3,False,133,2408,2408.TW
10,ABF載板,台灣核心股,,欣興3037★★★★★,欣興,3037,5,False,134,3037,3037.TW
10,ABF載板,台灣核心股,,南電8046★★★★★,南電,8046,5,False,135,8046,8046.TW
10,ABF載板,台灣核心股,,景碩3189★★★★★,景碩,3189,5,False,136,3189,3189.TW
10,ABF載板,全球上游_供應,,Ajinomoto2802.T（ABF膜）★★★★★,Ajinomoto ABF膜,2802.T,5,False,137,2802.T,2802.T
10,ABF載板,全球上游_供應,,銅箔／玻纖,銅箔 玻纖,,0,False,138,,
10,ABF載板,全球競爭_同業,,Ibiden4062.T★★★★★,Ibiden,4062.T,5,False,139,4062.T,4062.T
10,ABF載板,全球競爭_同業,,SEMCO009150.KS★★★★★,SEMCO,009150.KS,5,False,140,009150.KS,009150.KS
10,ABF載板,全球競爭_同業,,AT&S★★★★,AT&S,ATS.VI,4,False,141,ATS.VI,ATS.VI
10,ABF載板,全球合作_需求端,,NVDA★★★★★,,NVDA,5,False,142,NVDA,NVDA
10,ABF載板,全球合作_需求端,,AMD★★★★,,AMD,4,False,143,AMD,AMD
10,ABF載板,全球合作_需求端,,AVGO★★★★,,AVGO,4,False,144,AVGO,AVGO
10,ABF載板,台灣高關聯股,,三檔互為直接同業★★★★★,三檔互為直接同業,,5,False,145,,
11,玻纖布,台灣核心股,,富喬1815★★★★★,富喬,1815,5,False,146,1815,1815.TW
11,玻纖布,台灣核心股,,台玻1802★★★★★,台玻,1802,5,False,147,1802,1802.TW
11,玻纖布,台灣核心股,,德宏5475★★★★,德宏,5475,4,False,148,5475,5475.TW
11,玻纖布,台灣核心股,,宏和1446★★★★,宏和,1446,4,False,149,1446,1446.TW
11,玻纖布,全球上游_供應,,玻纖原料／玻纖紗,玻纖原料 玻纖紗,,0,False,150,,
11,玻纖布,全球競爭_同業,,日東紡3110.T★★★★★,日東紡,3110.T,5,False,151,3110.T,3110.T
11,玻纖布,全球合作_需求端,,CCL／AI PCB／AI Server,AI PCB AI Server,CCL,0,False,152,CCL,CCL
11,玻纖布,台灣高關聯股,,建榮5340★★★,建榮,5340,3,False,153,5340,5340.TW
11,玻纖布,台灣高關聯股,,台光電2383★★★★,台光電,2383,4,False,154,2383,2383.TW
11,玻纖布,台灣高關聯股,,台燿6274★★★★,台燿,6274,4,False,155,6274,6274.TW
12,HVLP銅箔,台灣核心股,,金居8358★★★★★,金居,8358,5,False,156,8358,8358.TW
12,HVLP銅箔,台灣核心股,,南亞1303★★★★,南亞,1303,4,False,157,1303,1303.TW
12,HVLP銅箔,台灣核心股,,榮科4989★★★,榮科,4989,3,False,158,4989,4989.TW
12,HVLP銅箔,全球上游_供應,,銅價／電解銅,銅價 電解銅,,0,False,159,,
12,HVLP銅箔,全球競爭_同業,,三井金屬5706.T★★★★★,三井金屬,5706.T,5,False,160,5706.T,5706.T
12,HVLP銅箔,全球競爭_同業,,古河電工5801.T★★★★★,古河電工,5801.T,5,False,161,5801.T,5801.T
12,HVLP銅箔,全球合作_需求端,,CCL／高速PCB／AI Switch,高速PCB AI Switch,CCL,0,False,162,CCL,CCL
12,HVLP銅箔,台灣高關聯股,,台光電2383★★★★★,台光電,2383,5,False,163,2383,2383.TW
12,HVLP銅箔,台灣高關聯股,,台燿6274★★★★,台燿,6274,4,False,164,6274,6274.TW
12,HVLP銅箔,台灣高關聯股,,金像電2368★★★★,金像電,2368,4,False,165,2368,2368.TW
13,CCL,台灣核心股,,台光電2383★★★★★,台光電,2383,5,False,166,2383,2383.TW
13,CCL,台灣核心股,,台燿6274★★★★★,台燿,6274,5,False,167,6274,6274.TW
13,CCL,台灣核心股,,聯茂6213★★★★,聯茂,6213,4,False,168,6213,6213.TW
13,CCL,全球上游_供應,,玻纖布＋HVLP銅箔,玻纖布＋銅箔,HVLP,0,False,169,HVLP,HVLP
13,CCL,全球競爭_同業,,Panasonic材料鏈★★★★,Panasonic材料鏈,,4,False,170,,
13,CCL,全球競爭_同業,,三家互為競爭,三家互為競爭,,0,False,171,,
13,CCL,全球合作_需求端,,AVGO★★★★★,,AVGO,5,False,172,AVGO,AVGO
13,CCL,全球合作_需求端,,NVDA★★★★,,NVDA,4,False,173,NVDA,NVDA
13,CCL,全球合作_需求端,,MRVL★★★★,,MRVL,4,False,174,MRVL,MRVL
13,CCL,台灣高關聯股,,富喬1815★★★★,富喬,1815,4,False,175,1815,1815.TW
13,CCL,台灣高關聯股,,金居8358★★★★,金居,8358,4,False,176,8358,8358.TW
13,CCL,台灣高關聯股,,金像電2368★★★★★,金像電,2368,5,False,177,2368,2368.TW
14,AI PCB,台灣核心股,,金像電2368★★★★★,金像電,2368,5,False,178,2368,2368.TW
14,AI PCB,台灣核心股,,健鼎3044★★★★,健鼎,3044,4,False,179,3044,3044.TW
14,AI PCB,台灣核心股,,華通2313★★★★,華通,2313,4,False,180,2313,2313.TW
14,AI PCB,台灣核心股,,欣興3037★★★★,欣興,3037,4,False,181,3037,3037.TW
14,AI PCB,全球上游_供應,,CCL／HVLP銅箔／玻纖布,HVLP銅箔 玻纖布,CCL,0,False,182,CCL,CCL
14,AI PCB,全球競爭_同業,,TTMI★★★★★,,TTMI,5,False,183,TTMI,TTMI
14,AI PCB,全球競爭_同業,,WUS002463.SZ★★★★★,WUS,002463.SZ,5,False,184,002463.SZ,002463.SZ
14,AI PCB,全球競爭_同業,,ISU Petasys007660.KS★★★★★,ISU Petasys,007660.KS,5,False,185,007660.KS,007660.KS
14,AI PCB,全球合作_需求端,,AVGO★★★★★,,AVGO,5,False,186,AVGO,AVGO
14,AI PCB,全球合作_需求端,,NVDA★★★★★,,NVDA,5,False,187,NVDA,NVDA
14,AI PCB,全球合作_需求端,,MRVL★★★★,,MRVL,4,False,188,MRVL,MRVL
14,AI PCB,台灣高關聯股,,台光電2383★★★★★,台光電,2383,5,False,189,2383,2383.TW
14,AI PCB,台灣高關聯股,,台燿6274★★★★,台燿,6274,4,False,190,6274,6274.TW
15,被動元件／MLCC,台灣核心股,,國巨2327★★★★★,國巨,2327,5,False,191,2327,2327.TW
15,被動元件／MLCC,台灣核心股,,華新科2492★★★★★,華新科,2492,5,False,192,2492,2492.TW
15,被動元件／MLCC,台灣核心股,,信昌電6173★★★★,信昌電,6173,4,False,193,6173,6173.TW
15,被動元件／MLCC,全球上游_供應,,Sakai Chemical4078.T★★★★,Sakai Chemical,4078.T,4,False,194,4078.T,4078.T
15,被動元件／MLCC,全球上游_供應,,信昌電陶瓷粉★★★★,信昌電陶瓷粉,,4,False,195,,
15,被動元件／MLCC,全球上游_供應,,勤凱4760★★★★,勤凱,4760,4,False,196,4760,4760.TW
15,被動元件／MLCC,全球競爭_同業,,Murata6981.T★★★★★,Murata,6981.T,5,False,197,6981.T,6981.T
15,被動元件／MLCC,全球競爭_同業,,SEMCO★★★★★,,SEMCO,5,False,198,SEMCO,SEMCO
15,被動元件／MLCC,全球競爭_同業,,Taiyo Yuden★★★★,Taiyo Yuden,6976.T,4,False,199,6976.T,6976.T
15,被動元件／MLCC,全球競爭_同業,,TDK★★★★,,TDK,4,False,200,TDK,TDK
15,被動元件／MLCC,全球競爭_同業,,VSH★★★,,VSH,3,False,201,VSH,VSH
15,被動元件／MLCC,全球合作_需求端,,AI Server／車用／手機／工控,AI Server 車用 手機 工控,,0,False,202,,
15,被動元件／MLCC,台灣高關聯股,,禾伸堂3026★★★★,禾伸堂,3026,4,False,203,3026,3026.TW
15,被動元件／MLCC,台灣高關聯股,,大毅2478★★★★,大毅,2478,4,False,204,2478,2478.TW
15,被動元件／MLCC,台灣高關聯股,,凱美2375★★★,凱美,2375,3,False,205,2375,2375.TW
16,AI Server,台灣核心股,,廣達2382★★★★★,廣達,2382,5,False,206,2382,2382.TW
16,AI Server,台灣核心股,,緯穎6669★★★★★,緯穎,6669,5,False,207,6669,6669.TW
16,AI Server,台灣核心股,,技嘉2376★★★★★,技嘉,2376,5,False,208,2376,2376.TW
16,AI Server,台灣核心股,,微星2377★★★★,微星,2377,4,False,209,2377,2377.TW
16,AI Server,台灣核心股,,華碩2357★★★★,華碩,2357,4,False,210,2357,2357.TW
16,AI Server,全球上游_供應,,NVDA★★★★★,,NVDA,5,False,211,NVDA,NVDA
16,AI Server,全球上游_供應,,AMD★★★★,,AMD,4,False,212,AMD,AMD
16,AI Server,全球上游_供應,,Memory/Networking/PCB/散熱/PSU,Memory/Networking//散熱/PSU,PCB,0,False,213,PCB,PCB
16,AI Server,全球競爭_同業,,SMCI★★★★★,,SMCI,5,False,214,SMCI,SMCI
16,AI Server,全球競爭_同業,,DELL★★★★★,,DELL,5,False,215,DELL,DELL
16,AI Server,全球競爭_同業,,HPE★★★★,,HPE,4,False,216,HPE,HPE
16,AI Server,全球競爭_同業,,Lenovo★★★,Lenovo,0992.HK,3,False,217,0992.HK,0992.HK
16,AI Server,全球合作_需求端,,MSFT/META/GOOGL/AMZN CapEx,META/GOOGL/AMZN CapEx,MSFT,0,False,218,MSFT,MSFT
16,AI Server,台灣高關聯股,,勤誠8210★★★★,勤誠,8210,4,False,219,8210,8210.TW
16,AI Server,台灣高關聯股,,晟銘電3013★★★,晟銘電,3013,3,False,220,3013,3013.TW
16,AI Server,台灣高關聯股,,鴻海2317★★★★,鴻海,2317,4,False,221,2317,2317.TW
17,AI散熱／液冷,台灣核心股,,雙鴻3324★★★★★,雙鴻,3324,5,False,222,3324,3324.TW
17,AI散熱／液冷,台灣核心股,,奇鋐3017★★★★★,奇鋐,3017,5,False,223,3017,3017.TW
17,AI散熱／液冷,台灣核心股,,健策3653★★★★★,健策,3653,5,False,224,3653,3653.TW
17,AI散熱／液冷,全球上游_供應,,NVDA GPU功耗,GPU功耗,NVDA,0,False,225,NVDA,NVDA
17,AI散熱／液冷,全球上游_供應,,Cold Plate/CDU/Fan/Quick Connector,Cold Plate//Fan/Quick Connector,CDU,0,False,226,CDU,CDU
17,AI散熱／液冷,全球競爭_同業,,VRT★★★★★,,VRT,5,False,227,VRT,VRT
17,AI散熱／液冷,全球競爭_同業,,ETN★★★★★,,ETN,5,False,228,ETN,ETN
17,AI散熱／液冷,全球競爭_同業,,MOD★★★★,,MOD,4,False,229,MOD,MOD
17,AI散熱／液冷,全球競爭_同業,,Nidec6594.T★★★★,Nidec,6594.T,4,False,230,6594.T,6594.T
17,AI散熱／液冷,全球合作_需求端,,SMCI★★★★,,SMCI,4,False,231,SMCI,SMCI
17,AI散熱／液冷,全球合作_需求端,,AI Server/Data Center,AI Server/Data Center,,0,False,232,,
17,AI散熱／液冷,台灣高關聯股,,富世達6805★★★★,富世達,6805,4,False,233,6805,6805.TW
17,AI散熱／液冷,台灣高關聯股,,高力8996★★★★,高力,8996,4,False,234,8996,8996.TW
17,AI散熱／液冷,台灣高關聯股,,建準2421★★★,建準,2421,3,False,235,2421,2421.TW
18,矽光子／CPO,台灣核心股,InP/III-V,聯亞3081★★★★★,聯亞,3081,5,False,236,3081,3081.TW
18,矽光子／CPO,台灣核心股,,全新2455★★★★,全新,2455,4,False,237,2455,2455.TW
18,矽光子／CPO,台灣核心股,,環宇-KY4991★★★★★,環宇-KY,4991,5,False,238,4991,4991.TW
18,矽光子／CPO,台灣核心股,,IET-KY4971★★★★★,IET-KY,4971,5,False,239,4971,4971.TW
18,矽光子／CPO,台灣核心股,,穩懋3105★★★★,穩懋,3105,4,False,240,3105,3105.TW
18,矽光子／CPO,台灣核心股,,宏捷科8086★★★,宏捷科,8086,3,False,241,8086,8086.TW
18,矽光子／CPO,台灣核心股,FAU/連接,上詮3363★★★★★,上詮,3363,5,False,242,3363,3363.TW
18,矽光子／CPO,台灣核心股,,波若威3163★★★★,波若威,3163,4,False,243,3163,3163.TW
18,矽光子／CPO,台灣核心股,光模組/元件,華星光4979★★★★★,華星光,4979,5,False,244,4979,4979.TW
18,矽光子／CPO,台灣核心股,,聯鈞3450★★★★,聯鈞,3450,4,False,245,3450,3450.TW
18,矽光子／CPO,台灣核心股,,眾達-KY4977★★★★,眾達-KY,4977,4,False,246,4977,4977.TW
18,矽光子／CPO,台灣核心股,封裝,訊芯-KY6451★★★★,訊芯-KY,6451,4,False,247,6451,6451.TW
18,矽光子／CPO,台灣核心股,,日月光3711★★★★,日月光,3711,4,False,248,3711,3711.TW
18,矽光子／CPO,台灣核心股,,台積電2330★★★★★,台積電,2330,5,False,249,2330,2330.TW
18,矽光子／CPO,全球上游_供應,,InP基板/銦材料 → MOCVD/MBE磊晶 → InP雷射/PD/APD → SiPh/FAU → 光模組 → CPO封裝,,MOCVD,0,True,250,MOCVD,MOCVD
